name,strunz,id,formula,elements,hyperlink,wavelength,status,comments,shift
Abellaite_R250095,,R250095,,,[RRUF](https://rruff.info/R250095) ,532,Proceed,"Aggregates of subhedral and pseudohexagonal colorless to white platelets.  Type sample, described in Ibáñez-Insa et al (2017)The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: Natural History Museum of BarcelonaJordi Ibáñez-Insa locality: Eureka mine, Lleida province, Catalonia, Spain",
Abelsonite_R070007,10.CA.20,R070007,NiC31H32N4,Ni C H N,[RRUF](https://rruff.info/R070007) [Mindat](http://www.mindat.org/search.php?name=Abelsonite),785,Proceed,"Purple platy crystals embedded in drill coreThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFGeophysical Laboratory, Carnegie Institution of Washington locality: Green River Formation, Utah, USA",
Abelsonite_R070007,10.CA.20,R070007,NiC31H32N4,Ni C H N,[RRUF](https://rruff.info/R070007) [Mindat](http://www.mindat.org/search.php?name=Abelsonite),532,Proceed,"Purple platy crystals embedded in drill coreThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFGeophysical Laboratory, Carnegie Institution of Washington locality: Green River Formation, Utah, USA",
Abhurite_R060227,3.DA.30,R060227,Sn2+21O6(OH)14Cl16,Sn O H Cl,[RRUF](https://rruff.info/R060227) [Mindat](http://www.mindat.org/search.php?name=Abhurite),532,Proceed,"Aggregate of tan colored platy crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality: Wreck of the SS Cheerful, 14 miles NNW of St. Ives, Cornwall, England",
Abhurite_R060227,3.DA.30,R060227,Sn2+21O6(OH)14Cl16,Sn O H Cl,[RRUF](https://rruff.info/R060227) [Mindat](http://www.mindat.org/search.php?name=Abhurite),780,Proceed,"Aggregate of tan colored platy crystalsThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality: Wreck of the SS Cheerful, 14 miles NNW of St. Ives, Cornwall, England",
Abramovite_R070037,2.HF.25a,R070037,Pb2SnInBiS7,Pb Sn In Bi S,[RRUF](https://rruff.info/R070037) [Mindat](http://www.mindat.org/search.php?name=Abramovite),532,Proceed,"Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.The identification of this mineral has been confirmed only by single crystal X-ray diffraction owner: Michael ScottMichael Scott locality: Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia",
Abramovite_R070037,2.HF.25a,R070037,Pb2SnInBiS7,Pb Sn In Bi S,[RRUF](https://rruff.info/R070037) [Mindat](http://www.mindat.org/search.php?name=Abramovite),532,Proceed,"Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.The identification of this mineral has been confirmed only by single crystal X-ray diffraction owner: Michael ScottMichael Scott locality: Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia",
Abramovite_R070037,2.HF.25a,R070037,Pb2SnInBiS7,Pb Sn In Bi S,[RRUF](https://rruff.info/R070037) [Mindat](http://www.mindat.org/search.php?name=Abramovite),785,Proceed,"Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.The identification of this mineral has been confirmed only by single crystal X-ray diffraction owner: Michael ScottMichael Scott locality: Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia",
Acanthite_R070578,2.BA.35,R070578,Ag2S,Ag S,[RRUF](https://rruff.info/R070578) [Mindat](http://www.mindat.org/search.php?name=Acanthite),780,Proceed,"Dark gray metallic fragmentThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFRoyal Ontario Museum locality: Echo Bay mine, Port Radium, Northwest Territories, Canada",
Acanthite_R070578,2.BA.35,R070578,Ag2S,Ag S,[RRUF](https://rruff.info/R070578) [Mindat](http://www.mindat.org/search.php?name=Acanthite),780,Proceed,"Dark gray metallic fragmentThe identification of this mineral has been confirmed by single-crystal X-ray diffraction owner: RRUFFRoyal Ontario Museum locality: Echo Bay mine, Port Radium, Northwest Territories, Canada",
