name,strunz,id,formula,elements,hyperlink,comments,shift
Actinolite_R040063-1,9.DE.10,R040063-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R040063) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R040064-1,9.DE.10,R040064-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R040064) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R050025-1,9.DE.10,R050025-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R050025) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R050336-1,9.DE.10,R050336-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R050336) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R060041-1,9.DE.10,R060041-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R060041) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R060045-1,9.DE.10,R060045-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R060045) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Adamite_R040130-1,8.BB.30,R040130-1,Zn2(AsO4)(OH),Zn As O H,[RRUF](https://rruff.info/R040130) [Mindat](http://www.mindat.org/search.php?name=Adamite),,
Adamite_R050020-1,8.BB.30,R050020-1,Zn2(AsO4)(OH),Zn As O H,[RRUF](https://rruff.info/R050020) [Mindat](http://www.mindat.org/search.php?name=Adamite),,
Aegirine_R040054-1,9.DA.25,R040054-1,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R040054) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_R050074-1,9.DA.25,R050074-1,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R050074) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
AeschyniteY_R080045-1,4.DF.05,R080045-1,"(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,[RRUF](https://rruff.info/R080045) [Mindat](http://www.mindat.org/search.php?name=AeschyniteY),,
Afmite_R130082,8.DD.15,R130082,Al3(OH)4(H2O)3(PO4)(PO3OH) H2O,Al O H P,[RRUF](https://rruff.info/R130082) [Mindat](http://www.mindat.org/search.php?name=Afmite),,
Alabandite_R070174-1,2.CD.10,R070174-1,MnS,Mn S,[RRUF](https://rruff.info/R070174) [Mindat](http://www.mindat.org/search.php?name=Alabandite),,
Albite_R040068-1,9.FA.35,R040068-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R040068) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R040129-1,9.FA.35,R040129-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R040129) [Mindat](http://www.mindat.org/search.php?name=Albite),,
Albite_R050253-1,9.FA.35,R050253-1,Na(AlSi3O8),Na Al Si O,[RRUF](https://rruff.info/R050253) [Mindat](http://www.mindat.org/search.php?name=Albite),,
