name,strunz,id,formula,elements,hyperlink,wavelength,status,comments,shift
Abelsonite_R070007,10.CA.20,R070007,NiC31H32N4,Ni C H N,[RRUF](https://rruff.info/R070007) [Mindat](http://www.mindat.org/search.php?name=Abelsonite),785,Proceed,"Purple platy crystals embedded in drill coreThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFGeophysical Laboratory, Carnegie Institution of Washington locality: Green River Formation, Utah, USA",
Abelsonite_R070007,10.CA.20,R070007,NiC31H32N4,Ni C H N,[RRUF](https://rruff.info/R070007) [Mindat](http://www.mindat.org/search.php?name=Abelsonite),785,RAW,"Purple platy crystals embedded in drill coreThe identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis owner: RRUFFGeophysical Laboratory, Carnegie Institution of Washington locality: Green River Formation, Utah, USA",
Actinolite_R040064,9.DE.10,R040064,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R040064) [Mindat](http://www.mindat.org/search.php?name=Actinolite),785,Proceed,"Aggregate of green acicular crystals associated with chloriteThe identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: RRUFFUniversity of Arizona Mineral Museum locality: Ehime Perfecture, Uma Gun, Japan",
Actinolite_R040064,9.DE.10,R040064,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R040064) [Mindat](http://www.mindat.org/search.php?name=Actinolite),785,RAW,"Aggregate of green acicular crystals associated with chloriteThe identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: RRUFFUniversity of Arizona Mineral Museum locality: Ehime Perfecture, Uma Gun, Japan",
Aenigmatite_R061088,9.DH.40,R061088,Na4 [Fe2+10Ti2 ]O4 [Si12O36 ],Na Fe Ti O Si,[RRUF](https://rruff.info/R061088) [Mindat](http://www.mindat.org/search.php?name=Aenigmatite),785,RAW,"Black prismatic crystalsThe identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality: Naujakasik, Greenland",
Aenigmatite_R061088,9.DH.40,R061088,Na4 [Fe2+10Ti2 ]O4 [Si12O36 ],Na Fe Ti O Si,[RRUF](https://rruff.info/R061088) [Mindat](http://www.mindat.org/search.php?name=Aenigmatite),785,Proceed,"Black prismatic crystalsThe identification of this mineral has been confirmed by X-ray diffraction and chemical analysis owner: RRUFFMichael Scott locality: Naujakasik, Greenland",
Aeschynite-(Y)_R060312,4.DF.05,R060312,"(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,[RRUF](https://rruff.info/R060312) [Mindat](http://www.mindat.org/search.php?name=Aeschynite-(Y)),780,Proceed,"Black glassy amorphous, note that a fragment of this sample was heated and is posted at R080045The identification of this mineral has been confirmed only by chemical analysis owner: RRUFFHerb Obodda locality: Hittero, Vest-Agder, Norway",
Aeschynite-(Y)_R060312,4.DF.05,R060312,"(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,[RRUF](https://rruff.info/R060312) [Mindat](http://www.mindat.org/search.php?name=Aeschynite-(Y)),780,RAW,"Black glassy amorphous, note that a fragment of this sample was heated and is posted at R080045The identification of this mineral has been confirmed only by chemical analysis owner: RRUFFHerb Obodda locality: Hittero, Vest-Agder, Norway",
Aeschynite-(Y)_R060312,4.DF.05,R060312,"(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,[RRUF](https://rruff.info/R060312) [Mindat](http://www.mindat.org/search.php?name=Aeschynite-(Y)),532,RAW,"Black glassy amorphous, note that a fragment of this sample was heated and is posted at R080045The identification of this mineral has been confirmed only by chemical analysis owner: RRUFFHerb Obodda locality: Hittero, Vest-Agder, Norway",
Aeschynite-(Y)_R060312,4.DF.05,R060312,"(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6",Y Ln Ca Th Ti Nb O H,[RRUF](https://rruff.info/R060312) [Mindat](http://www.mindat.org/search.php?name=Aeschynite-(Y)),532,Proceed,"Black glassy amorphous, note that a fragment of this sample was heated and is posted at R080045The identification of this mineral has been confirmed only by chemical analysis owner: RRUFFHerb Obodda locality: Hittero, Vest-Agder, Norway",
