name,strunz,id,formula,elements,hyperlink,wavelength,status,comments,shift
 CH12B5N3O11_GPBMH,,GPBMH, CH12B5N3O11,C H B N O,,532,RAW,"Locality is from Synthetic. Comments: From https://doi.org/10.1016/j.molstruc.2020.128065 Investigation on structural, spectral, optical, thermal studies and third order NLO properties of guanidinium pentaborate monohydrate single crystal ",
 CH12B5N3O11_GPBMH,,GPBMH, CH12B5N3O11,C H B N O,,532,Proceed,"Locality is from Synthetic. Comments: From https://doi.org/10.1016/j.molstruc.2020.128065 Investigation on structural, spectral, optical, thermal studies and third order NLO properties of guanidinium pentaborate monohydrate single crystal ",
 NaB(OH)4_wsr013,,wsr013, NaB(OH)4,Na B O H,,532,RAW,Locality is from synthetic. Comments:  NaB(OH)4 droplets molar water-to-solute ratio 0.13 from https://doi.org/10.1016/j.saa.2019.117308,
 NaB(OH)4_wsr013,,wsr013, NaB(OH)4,Na B O H,,532,Proceed,Locality is from synthetic. Comments:  NaB(OH)4 droplets molar water-to-solute ratio 0.13 from https://doi.org/10.1016/j.saa.2019.117308,
 Rb3EuB6O12_reb5o,,reb5o, Rb3EuB6O12,Rb Eu B O,,532,RAW,Locality is from synthetic. Comments: From Structural and spectroscopic properties of new noncentrosymmetric self-activated borate Rb3EuB6O12 with B5O10 units  https://doi.org/10.1016/j.matdes.2017.12.004,
 Rb3EuB6O12_reb5o,,reb5o, Rb3EuB6O12,Rb Eu B O,,532,Proceed,Locality is from synthetic. Comments: From Structural and spectroscopic properties of new noncentrosymmetric self-activated borate Rb3EuB6O12 with B5O10 units  https://doi.org/10.1016/j.matdes.2017.12.004,
"(Fe,Ni)S_3268-1",,3268-1,Fe0.9Ni0.1S,Fe Ni S,,532,RAW,"Locality is from synthtetic. Comments: (Fe0.9Ni0.1)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3268-1",,3268-1,Fe0.9Ni0.1S,Fe Ni S,,532,Proceed,"Locality is from synthtetic. Comments: (Fe0.9Ni0.1)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3268-2",,3268-2,Fe0.9Ni0.1S,Fe Ni S,,532,RAW,"Locality is from synthtetic. Comments: (Fe0.9Ni0.1)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3268-2",,3268-2,Fe0.9Ni0.1S,Fe Ni S,,532,Proceed,"Locality is from synthtetic. Comments: (Fe0.9Ni0.1)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3268-4",,3268-4,Fe0.9Ni0.1S,Fe Ni S,,532,RAW,"Locality is from synthtetic. Comments: (Fe0.9Ni0.1)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3268-4",,3268-4,Fe0.9Ni0.1S,Fe Ni S,,532,Proceed,"Locality is from synthtetic. Comments: (Fe0.9Ni0.1)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3273-1",,3273-1,Fe0.5Ni0.5S,Fe Ni S,,532,RAW,"Locality is from synthtetic. Comments: (Fe0.5Ni0.5)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3273-1",,3273-1,Fe0.5Ni0.5S,Fe Ni S,,532,Proceed,"Locality is from synthtetic. Comments: (Fe0.5Ni0.5)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3273-2",,3273-2,Fe0.5Ni0.5S,Fe Ni S,,532,RAW,"Locality is from synthtetic. Comments: (Fe0.5Ni0.5)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3273-2",,3273-2,Fe0.5Ni0.5S,Fe Ni S,,532,Proceed,"Locality is from synthtetic. Comments: (Fe0.5Ni0.5)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3273-4",,3273-4,Fe0.5Ni0.5S,Fe Ni S,,532,RAW,"Locality is from synthtetic. Comments: (Fe0.5Ni0.5)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
"(Fe,Ni)S_3273-4",,3273-4,Fe0.5Ni0.5S,Fe Ni S,,532,Proceed,"Locality is from synthtetic. Comments: (Fe0.5Ni0.5)S Spivak, A.V.; Sharapova, N.Y.; Setkova, T.V.; Bobrov, A.V.; Korepanov, V.I.; Iskrina, A.V.; Zakharchenko, E.S.; Voronin, M.V.; Drozhzhina, N.A. High-Pressure Monosulfide Solid Solution FexNi1-xS Phases: X-Ray Diffraction Analysis and Raman Spectroscopy. Crystals 2024, 14, 967. https://doi.org/10.3390/cryst14110967",
(NH4)3TiF7_H_K-NHTF-V,10.C.,H,(NH4)3TiF7,N H Ti F,,532,RAW,Locality is from synthetic. Comments: High temperature modification of (NH4)3TiF7. From J Raman Spectrosc. 2018;49:1230–1235. DOI: 10.1002/jrs.5374,
(NH4)3TiF7_H_K-NHTF-V,10.C.,H,(NH4)3TiF7,N H Ti F,,532,Proceed,Locality is from synthetic. Comments: High temperature modification of (NH4)3TiF7. From J Raman Spectrosc. 2018;49:1230–1235. DOI: 10.1002/jrs.5374,
(NH4)3TiF7_V_K-NHTF-VV,10.C.,V,(NH4)3TiF7,N H Ti F,,532,RAW,Locality is from synthetic. Comments: Room temperature modification of (NH4)3TiF7. From J Raman Spectrosc. 2018;49:1230–1235. DOI: 10.1002/jrs.5374,
(NH4)3TiF7_V_K-NHTF-VV,10.C.,V,(NH4)3TiF7,N H Ti F,,532,Proceed,Locality is from synthetic. Comments: Room temperature modification of (NH4)3TiF7. From J Raman Spectrosc. 2018;49:1230–1235. DOI: 10.1002/jrs.5374,
"2,4-Dinitrophenol_dn",,dn,C6H4N2O5,C H N O,,633,RAW,Locality is from Synthetic. Comments: DNP_2-4_dinitrophenol_633nm_10x5s_1pw.txt,
"2,4-Dinitrophenol_dn",,dn,C6H4N2O5,C H N O,,633,Proceed,Locality is from Synthetic. Comments: DNP_2-4_dinitrophenol_633nm_10x5s_1pw.txt,
"2,4-Dinitrophenol_mr-ext",,mr-ext,C6H4N2O5,C H N O,,633,RAW,Locality is from Synthetic. Comments: DNP_2-4_dinitrophenol_633nm_10x5s_1pw.txt,
"2,4-Dinitrophenol_mr-ext",,mr-ext,C6H4N2O5,C H N O,,633,Proceed,Locality is from Synthetic. Comments: DNP_2-4_dinitrophenol_633nm_10x5s_1pw.txt,
ACC_Needle1-04,,Needle1-04,CaCO3,Ca C O,,532,RAW,"Locality is from None. Comments: Amourphous calcium carbonate Onchidoris Muricata spicules, length 1 mm Ozerov, D.A.; Nikitenko, E.D.; Piryazev, A.A.; Lavrov, A.I.; Vortsepneva, E.V. Mineral Composition of Skeletal Elements in Dorid Nudibranchia Onchidoris muricata (Gastropoda, Mollusca). Biomimetics 2025, 10, 211. https://doi.org/10.3390/biomimetics10040211",
