name,strunz,id,formula,elements,hyperlink,wavelength,status,comments,shift
Abhurite_7200003.rod,3.DA.30,7200003.rod,Sn2+21O6(OH)14Cl16,Sn O H Cl,[ROD](https://solsa.crystallography.net/rod/7200003.html) [Mindat](http://www.mindat.org/search.php?name=Abhurite),780.0,RAW,,
Abhurite_7200004.rod,3.DA.30,7200004.rod,Sn2+21O6(OH)14Cl16,Sn O H Cl,[ROD](https://solsa.crystallography.net/rod/7200004.html) [Mindat](http://www.mindat.org/search.php?name=Abhurite),532.0,RAW,,
Actinolite_1000020.rod,9.DE.10,1000020.rod,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000020.html) [Mindat](http://www.mindat.org/search.php?name=Actinolite),780.0,RAW,,
Actinolite_1000033.rod,9.DE.10,1000033.rod,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000033.html) [Mindat](http://www.mindat.org/search.php?name=Actinolite),780.0,RAW,,
Actinolite_1000141.rod,9.DE.10,1000141.rod,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000141.html) [Mindat](http://www.mindat.org/search.php?name=Actinolite),780.0,RAW,,
Actinolite_1000193.rod,9.DE.10,1000193.rod,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000193.html) [Mindat](http://www.mindat.org/search.php?name=Actinolite),532.0,RAW,,
Actinolite_1000203.rod,9.DE.10,1000203.rod,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000203.html) [Mindat](http://www.mindat.org/search.php?name=Actinolite),532.0,RAW,,
Actinolite_1000204.rod,9.DE.10,1000204.rod,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000204.html) [Mindat](http://www.mindat.org/search.php?name=Actinolite),532.0,RAW,,
Actinolite_1000318.rod,9.DE.10,1000318.rod,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[ROD](https://solsa.crystallography.net/rod/1000318.html) [Mindat](http://www.mindat.org/search.php?name=Actinolite),532.0,RAW,,
Adamite_1000065.rod,8.BB.30,1000065.rod,Zn2(AsO4)(OH),Zn As O H,[ROD](https://solsa.crystallography.net/rod/1000065.html) [Mindat](http://www.mindat.org/search.php?name=Adamite),780.0,RAW,,
Adamite_1000243.rod,8.BB.30,1000243.rod,Zn2(AsO4)(OH),Zn As O H,[ROD](https://solsa.crystallography.net/rod/1000243.html) [Mindat](http://www.mindat.org/search.php?name=Adamite),532.0,RAW,,
Aegirine-augite_1000470.rod,9.DA.20,1000470.rod,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6",Ca Na Fe Mg Si O,[ROD](https://solsa.crystallography.net/rod/1000470.html) [Mindat](http://www.mindat.org/search.php?name=Aegirine-augite),532.0,RAW,,
Aegirine-augite_1000656.rod,9.DA.20,1000656.rod,"(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6",Ca Na Fe Mg Si O,[ROD](https://solsa.crystallography.net/rod/1000656.html) [Mindat](http://www.mindat.org/search.php?name=Aegirine-augite),780.0,RAW,,
Afghanite_1000058.rod,9.FB.05,1000058.rod,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[ROD](https://solsa.crystallography.net/rod/1000058.html) [Mindat](http://www.mindat.org/search.php?name=Afghanite),780.0,RAW,,
Afghanite_1000233.rod,9.FB.05,1000233.rod,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[ROD](https://solsa.crystallography.net/rod/1000233.html) [Mindat](http://www.mindat.org/search.php?name=Afghanite),532.0,RAW,,
Afwillite_2310001.rod,9.AG.75,2310001.rod,Ca3 [SiO4 ] [SiO2(OH)2 ] 2H2O,Ca Si O H,[ROD](https://solsa.crystallography.net/rod/2310001.html) [Mindat](http://www.mindat.org/search.php?name=Afwillite),780.0,RAW,,
Afwillite_2310006.rod,9.AG.75,2310006.rod,Ca3 [SiO4 ] [SiO2(OH)2 ] 2H2O,Ca Si O H,[ROD](https://solsa.crystallography.net/rod/2310006.html) [Mindat](http://www.mindat.org/search.php?name=Afwillite),532.0,RAW,,
Akaganeite_1000014.rod,4.DK.05,1000014.rod,"(Fe3+,Ni2+)8(OH,O)16Cl1.25 nH2O",Fe Ni O H Cl,[ROD](https://solsa.crystallography.net/rod/1000014.html) [Mindat](http://www.mindat.org/search.php?name=Akaganeite),514.0,RAW,,
Akatoreite_1000045.rod,9.BH.15,1000045.rod,Mn2+9Al2Si8O24(OH)8,Mn Al Si O H,[ROD](https://solsa.crystallography.net/rod/1000045.html) [Mindat](http://www.mindat.org/search.php?name=Akatoreite),780.0,RAW,,
Akatoreite_1000216.rod,9.BH.15,1000216.rod,Mn2+9Al2Si8O24(OH)8,Mn Al Si O H,[ROD](https://solsa.crystallography.net/rod/1000216.html) [Mindat](http://www.mindat.org/search.php?name=Akatoreite),532.0,RAW,,
