name,strunz,id,formula,elements,hyperlink,comments,shift
Abhurite_R060227-9,3.DA.30,R060227-9,Sn2+21O6(OH)14Cl16,Sn O H Cl,[RRUF](https://rruff.info/R060227) [Mindat](http://www.mindat.org/search.php?name=Abhurite),,
Acanthite_R070578-9,2.BA.35,R070578-9,Ag2S,Ag S,[RRUF](https://rruff.info/R070578) [Mindat](http://www.mindat.org/search.php?name=Acanthite),,
Acanthite_R080016-1,2.BA.35,R080016-1,Ag2S,Ag S,[RRUF](https://rruff.info/R080016) [Mindat](http://www.mindat.org/search.php?name=Acanthite),,
Acanthite_R080016-1,2.BA.35,R080016-1,Ag2S,Ag S,[RRUF](https://rruff.info/R080016) [Mindat](http://www.mindat.org/search.php?name=Acanthite),,
Actinolite_R040063-1,9.DE.10,R040063-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R040063) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R040063-1,9.DE.10,R040063-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R040063) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R040064-1,9.DE.10,R040064-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R040064) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R040064-1,9.DE.10,R040064-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R040064) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R050025-1,9.DE.10,R050025-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R050025) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R050336-1,9.DE.10,R050336-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R050336) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R050336-1,9.DE.10,R050336-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R050336) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R060041-1,9.DE.10,R060041-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R060041) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R060041-1,9.DE.10,R060041-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R060041) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R060045-1,9.DE.10,R060045-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R060045) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R060045-1,9.DE.10,R060045-1,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R060045) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Actinolite_R120010-9,9.DE.10,R120010-9,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[RRUF](https://rruff.info/R120010) [Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Adachiite_R230014-9,9.CK.,R230014-9,CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH),Ca Fe Al Si O B H,[RRUF](https://rruff.info/R230014) [Mindat](http://www.mindat.org/search.php?name=Adachiite),,
Adamite_R040130-1,8.BB.30,R040130-1,Zn2(AsO4)(OH),Zn As O H,[RRUF](https://rruff.info/R040130) [Mindat](http://www.mindat.org/search.php?name=Adamite),,
Adamite_R040130-1,8.BB.30,R040130-1,Zn2(AsO4)(OH),Zn As O H,[RRUF](https://rruff.info/R040130) [Mindat](http://www.mindat.org/search.php?name=Adamite),,
Adamite_R050020-1,8.BB.30,R050020-1,Zn2(AsO4)(OH),Zn As O H,[RRUF](https://rruff.info/R050020) [Mindat](http://www.mindat.org/search.php?name=Adamite),,
Adamite_R050020-1,8.BB.30,R050020-1,Zn2(AsO4)(OH),Zn As O H,[RRUF](https://rruff.info/R050020) [Mindat](http://www.mindat.org/search.php?name=Adamite),,
Adamite_R060593-1,8.BB.30,R060593-1,Zn2(AsO4)(OH),Zn As O H,[RRUF](https://rruff.info/R060593) [Mindat](http://www.mindat.org/search.php?name=Adamite),,
Adamite_R060593-1,8.BB.30,R060593-1,Zn2(AsO4)(OH),Zn As O H,[RRUF](https://rruff.info/R060593) [Mindat](http://www.mindat.org/search.php?name=Adamite),,
AdamsiteY_R070360-9,5.CC.30,R070360-9,NaY(CO3)2 6H2O,Na Y C O H,[RRUF](https://rruff.info/R070360) [Mindat](http://www.mindat.org/search.php?name=AdamsiteY),,
Adelite_R060687-9,8.BH.35,R060687-9,CaMg(AsO4)(OH),Ca Mg As O H,[RRUF](https://rruff.info/R060687) [Mindat](http://www.mindat.org/search.php?name=Adelite),,
Adelite_R140962-9,8.BH.35,R140962-9,CaMg(AsO4)(OH),Ca Mg As O H,[RRUF](https://rruff.info/R140962) [Mindat](http://www.mindat.org/search.php?name=Adelite),,
Aegirine_R040054-1,9.DA.25,R040054-1,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R040054) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_R040054-1,9.DA.25,R040054-1,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R040054) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_R050074-1,9.DA.25,R050074-1,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R050074) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_R050074-1,9.DA.25,R050074-1,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R050074) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_R061093-9,9.DA.25,R061093-9,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R061093) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_R070125-9,9.DA.25,R070125-9,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R070125) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_R070253-9,9.DA.25,R070253-9,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R070253) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_R120144-9,9.DA.25,R120144-9,NaFe3+Si2O6,Na Fe Si O,[RRUF](https://rruff.info/R120144) [Mindat](http://www.mindat.org/search.php?name=Aegirine),,
