name,strunz,id,formula,elements,hyperlink,comments,shift
Black_nephrite,,35,,,,,
Actinolite_,9.DE.10,83,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Ca Mg Fe Si O H,[Mindat](http://www.mindat.org/search.php?name=Actinolite),,
Aegirine_association with fluorcarletonite f3,9.DA.25,14,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_ChR-21-2 Mitichkin black grain,9.DA.25,202,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_Ch21-2 in associatiopn tinaksite,9.DA.25,203,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_in association with turkestanite Inagli,9.DA.25,208,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_Khon-Bogdo Radomskay,9.DA.25,449,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_in association with charoite and dalyeite,9.DA.25,456,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_LV-23-1 Pankorovskyi,9.DA.25,498,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_LV-23-1 grain 2 Panimkorovsky,9.DA.25,499,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_green Inagli Radomskaya,9.DA.25,85,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Aegirine_Murun polished thin Radomskaya,9.DA.25,88,NaFe3+Si2O6,Na Fe Si O,[Mindat](http://www.mindat.org/search.php?name=Aegirine),,
Afghanite_Ladzhvarda,9.FB.05,2,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[Mindat](http://www.mindat.org/search.php?name=Afghanite),,
Afghanite_Tultuy row 4,9.FB.05,291,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[Mindat](http://www.mindat.org/search.php?name=Afghanite),,
Afghanite_Tultuy s7,9.FB.05,390,"(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6",Na K Ca Si Al O S Cl,[Mindat](http://www.mindat.org/search.php?name=Afghanite),,
"Afghanite,Sar-e-Sang_",,Sar-e-Sang,,,,,
Agrellite_Kaneva,9.DH.75,47,NaCa2Si4O10F,Na Ca Si O F,[Mindat](http://www.mindat.org/search.php?name=Agrellite),,
Akermanite_probably Mineral in Nyiragongo lava 2020 erption kermanite like,9.BB.10,139,Ca2MgSi2O7,Ca Mg Si O,[Mindat](http://www.mindat.org/search.php?name=Akermanite),,
Albite_in association with turkestnite Dara-i-Pioz grain 3,9.FA.35,214,Na(AlSi3O8),Na Al Si O,[Mindat](http://www.mindat.org/search.php?name=Albite),,
Almandine_okulb kholomolokh,9.AD.25,315,Fe2+3Al2(SiO4)3,Fe Al Si O,[Mindat](http://www.mindat.org/search.php?name=Almandine),,
Amphibole-X_Radomskaya Anagsolka green grass,,140,,,,,
Amphibole_from Tageran Levitskiy,,157,,,,,
Andalusite_,9.AF.10,319,Al2SiO5,Al Si O,[Mindat](http://www.mindat.org/search.php?name=Andalusite),,
Andalusite_Mitichkin pink,9.AF.10,419,Al2SiO5,Al Si O,[Mindat](http://www.mindat.org/search.php?name=Andalusite),,
